barrio,lon,lat
10-FLORIDA BAJA,-0.512324,38.3428603
11-CIUDAD DE ASIS,-0.5138735,38.3484438
12-POLIGONO BABEL,-0.5126238,38.3370447
13-SAN GABRIEL,-0.5086175,38.3290595
14-ENSANCHE DIPUTACION,-0.4954555,38.3445512
15-POLIGONO SAN BLAS,-0.4991698,38.3541428
16-PLA DEL BON REPOS,-0.4740986,38.3571377
17-CAROLINAS ALTAS,-0.48136,38.3605662
18-CAROLINAS BAJAS,-0.4812975,38.3543097
19-GARBINET,-0.479512,38.3632174
1-BENALUA,-0.4982871,38.3416517
20-RABASA,-0.5054079,38.3668842
21-TOMBOLA,-0.4999624,38.3707848
22-CASCO ANTIGUO - SANTA CRUZ,-0.4808172,38.3462009
23-RAVAL ROIG -V. DEL SOCORRO,-0.4741925,38.3496325
24-SAN BLAS - SANTO DOMINGO,-0.4964945,38.3482598
25-ALTOZANO - CONDE LUMIARES,-0.4880235,38.3622097
26-SIDI IFNI - NOU ALACANT,-0.4823685,38.3659207
27-SAN FERNANDO-PRIN. MERCEDES,-0.504773,38.3457766
28-EL PALMERAL,-0.6624381,37.9849937
29-URBANOVA,-0.5217263,38.2834926
2-SAN ANTON,-0.4815479,38.3503908
30-DIVINA PASTORA,-0.5023158,38.3728179
31-CIUDAD JARDIN,-0.956055,38.094517
32-VIRGEN DEL REMEDIO,-0.4905584,38.3765768
33- MORANT -SAN NICOLAS BARI,-1.038633,38.4045761
34-COLONIA REQUENA,-0.4858179,38.37489
35-VIRGEN DEL CARMEN,-0.4848844,38.3702234
36-CUATROCIENTAS VIVIENDAS,-0.4848844,38.3702234
37-JUAN XXIII,-0.4808489,38.3748931
38-VISTAHERMOSA,-0.4605514,38.3650906
39-ALBUFERETA,-0.438635,38.3640151
3-CENTRO,-0.4863708,38.3451121
40-CABO DE LAS HUERTAS,-0.4138076,38.3584161
41-PLAYA DE SAN JUAN,-0.4097663,38.3703033
4-MERCADO,-0.4881979,38.3490751
53-POLIGONO ATALAYAS,-0.5690676,38.3397821
54-POLIGONO VALLONGA,-0.5511448,38.3490409
55-PUERTO,-0.2137769,38.5674036
56-DISPERSOS,-0.4881708,38.3436365
5-CAMPOAMOR,-0.4870413,38.3576248
6-LOS ANGELES,-0.4951657,38.3622292
7-SAN AGUSTIN,-0.5006699,38.3623176
8-ALIPARK,-0.5000459,38.3438035
9-FLORIDA ALTA,-0.5099771,38.3470154
BACAROT,-0.5571984,38.3194865
FONTCALENT,-0.6161142,38.3619333
LA ALCORAYA,-0.6313365,38.3704884
LA CAÑADA,-0.580355,38.3966057
MONNEGRE,-0.5443076,38.4906895
MORALET,-0.5675088,38.4392853
PDA VALLONGA,-0.3606821,38.536237
REBOLLEDO,-0.6106038,38.3434802
SANTA FAZ,-0.4435373,38.3896091
TABARCA,-0.482116,38.1664904
VERDEGAS,-0.5853015,38.4062426
VILLAFRANQUEZA,-0.4887507,38.3885693
